Date,Open,High,Low,Close,Volume,Market Cap
Jul-23-2021,10.83,11.17,10.56,11.067633923800974,54409416,1868817422.9907053
Jul-22-2021,10.42,10.944137994199966,10.25,10.84,69254945.44881889,1829594508.7034674
Jul-21-2021,9.62,10.73,9.48,10.4,59310089.78113207,1762724460.3891864
Jul-20-2021,10.16,10.34,9.34,9.57,53467049.28838951,1662814009.4061959
Jul-19-2021,10.72,10.74,10.07,10.25,45960163.88932806,1789649661.8426452
Jul-18-2021,10.93,11.26,10.69,10.79,47624730.5785124,1893384980.1033196
Jul-17-2021,10.82,11.13,10.74,10.96,64891465.577689245,1880822698.2913818
Jul-16-2021,11.3,11.79,10.87,10.87,67082264.7372549,1953726766.483434
Jul-15-2021,11.78,12.09,11.16,11.3,69879585.312,1987697199.8966367
Jul-14-2021,11.92,12.1,11.14,11.77,87749884.0625,2014460721.2772548
Jul-13-2021,12.18,12.38,11.76,11.88,78058581.78656127,2094320024.1723537
Jul-12-2021,12.4,12.83,11.74,12.24,71240522.35390946,2124176569.6272554
Jul-11-2021,12.04,12.47,11.93,12.37,59812111.38333333,2101394068.3520544
Jul-10-2021,12.553355656853572,12.815234022530715,11.89,12.04,90902420.18604651,2116967382.109678
Jul-09-2021,12.107559600192024,12.84,11.66,12.5925424731497,110170756.02777778,2115567408.7741766
Jul-08-2021,13.10866481080074,13.10866481080074,11.89,12.090179544074672,147082880.4722222,2121542476.5290577
Jul-07-2021,13.376223961478445,14.12,13.06561381047434,13.069786071527908,157403159.7770035,2346602642.752963
Jul-06-2021,12.018520904252457,14.12,12.018520904252457,13.317731060033736,160807684.73867595,2300560719.329181
Jul-05-2021,12.36,12.41,11.6,12.10868311144892,108675408.11188811,2082201198.1079626
Jul-04-2021,11.5,12.83,11.224772516385633,12.47,62812337.22605364,2065945745.4242208
Jul-03-2021,11.14,11.65,10.89,11.48,61159104.672268905,1953806426.1328707
Jul-02-2021,11.23,11.31,10.58,11.09,68218009.73061225,1872291939.8077166
Jul-01-2021,11.95,12.04,11,11.26,76061908.46511628,1960670811.0185359
Jun-30-2021,11.87,12.094955300201644,11.05,11.92,100640477.00363636,2004498271.1104465
Jun-29-2021,11.32,12.29,11.09,11.81,86287611.14705883,2026708418.0357757
Jun-28-2021,10.94,11.44,10.74,11.34,67622011.53138076,1909145075.6607282
Jun-27-2021,10.32,10.96,10.09,10.94,63629666.51908397,1794245144.6391962
Jun-26-2021,10.4,10.58,9.82,10.22,89496882.53333333,1756218391.2963672
Jun-25-2021,11.49,11.74,10.24,10.4,89491171.64750957,1875463024.70028
Jun-24-2021,11.43,11.74,10.846438268292072,11.49,100894008.20253165,1950061577.5589523
Jun-23-2021,10.53,11.772418732587257,10.17,11.43,173016855.1236749,1947379005.2072146
Jun-22-2021,11.23,11.75,9.42,10.54,166071116.53146854,1865185497.7340658
Jun-21-2021,13.93,14.019644082451052,11.09,11.21,123547100,2153739896.5810256
Jun-20-2021,13.43,14.1,12.83,13.93,78912289.29133858,2322725143.0080595
Jun-19-2021,13.61,14,13.22,13.47,107194672.57553957,2360730442.5387483
Jun-18-2021,14.82,15.21,13.12501952264715,13.58,145233773,2458646188.9415927
Jun-17-2021,14.073703645906877,15.46418003321331,14.054863801950148,14.82,152425332.87804878,2546321430.181296
Jun-16-2021,14.71,14.896466497265454,13.953821876070238,14.010958864509188,131280294.24390244,2490008445.40295
Jun-15-2021,15.12,15.4951047290787,14.63,14.73,147474325.3611111,2594009027.5570793
Jun-14-2021,14.77,15.38,14.40224473443024,15.07,174176170.94444445,2553352058.1629233
Jun-13-2021,13.53,14.978651015092948,13.27,14.73,140957061.08333334,2404619942.2969294
Jun-12-2021,13.41,13.88,12.71,13.59,152775266.3888889,2290764107.7269425
Jun-11-2021,14.14,14.57,13.2,13.36,143074356.3611111,2397105891.5877676
Jun-10-2021,15.373521207678952,15.53277189992561,13.74,14.21,185469052.09756097,2492947428.391439
Jun-09-2021,14.83951459727269,15.724421733870996,13.68,15.339048775537012,207804235.16666666,2541775727.756872
Jun-08-2021,15.5034832645488,16.01468360962481,13.79,14.80624549768824,230488341.27719298,2559233067.17509
Jun-07-2021,17.39,18.03,15.431834686031843,15.431834686031843,172333862.3611111,2922536041.2471576
Jun-06-2021,17.23,17.97760564411546,17.13,17.4,147614445.0962963,2305863105.1202793
Jun-05-2021,18.27,19.125351287762427,16.93,17.23,173617749.66666666,2372808258.287895
Jun-04-2021,20.24,20.49,17.47944684293701,18.33,208060620,2411916634.1202226
Jun-03-2021,18.69,20.64,18.3,20.26,210994009.2222222,2576293495.9353967
Jun-02-2021,17.77,19.328108623901954,17.18,18.73,164171697.83333334,2387846049.7375736
Jun-01-2021,18.15028731037913,18.531181955171903,17.19,17.8,159184513.5052265,2312379779.6887555
May-31-2021,16.53,18.16,15.81,18.05912487934234,149901099.26132405,2226305421.6666436
May-30-2021,16.15,17.37,15.199539810427876,16.510091355506866,156740814.37762237,2168073201.8802824
May-29-2021,16.74,17.579538301663614,15.219266275976924,16.12,183798461.2777778,2128665219.2289493
May-28-2021,19.05667929997825,19.539329396625845,16.08,16.78,215834260.0696864,2286134834.8977747
